Recency, Frequency,  Monetary 
2, 17 , 976
1, 7 , 171
3, 23 , 2322
3, 32 , 3293
3, 14 , 426
2, 24 , 666
2, 30 , 1542
2, 30 , 1350
2, 8 , 84
1, 13 , 686
2, 9 , 367
2, 23 , 616
2, 46 , 4983
2, 19 , 607
1, 10 , 309
2, 6 , 243
2, 10 , 379
1, 17 , 706
2, 22 , 1236
2, 12 , 396
2, 35 , 1766
1, 4 , 149
2, 10 , 502
3, 19 , 843
2, 8 , 194
2, 6 , 317
2, 86 , 11020
2, 17 , 317
2, 14 , 148
1, 26 , 1855
2, 37 , 2372
2, 14 , 478
2, 29 , 1255
2, 39 , 2405
1, 9 , 158
1, 25 , 923
1, 19 , 410
2, 6 , 424
2, 11 , 346
3, 55 , 5004
2, 41 , 2116
3, 21 , 1479
2, 21 , 720
1, 8 , 53
2, 20 , 1145
2, 11 , 200
2, 12 , 286
2, 7 , 336
2, 98 , 9998
2, 39 , 3090
2, 4 , 141
2, 12 , 523
2, 37 , 2647
1, 9 , 307
3, 6 , 65
2, 111 , 10040
1, 9 , 162
2, 29 , 1041
1, 26 , 1624
2, 20 , 640
2, 24 , 1512
2, 10 , 140
2, 22 , 610
3, 45 , 2966
1, 14 , 1660
2, 37 , 1564
1, 32 , 2885
2, 52 , 2496
3, 22 , 709
3, 31 , 931
1, 2 , 10
2, 48 , 2664
2, 31 , 1586
3, 45 , 2280
3, 22 , 1851
3, 27 , 1246
3, 35 , 2083
2, 16 , 575
2, 16 , 357
2, 27 , 1889
3, 10 , 155
2, 26 , 1147
1, 2 , 36
1, 16 , 1173
2, 28 , 1046
1, 14 , 415
3, 14 , 325
3, 11 , 184
2, 35 , 1649
