no,before,after
1,5.1,6.3
2,5.2,6.3
3,4.7,6.5
4,4.8,5.9
5,5,6.5
6,5.4,7.3
7,5,5.9
8,5,6.2
9,4.4,6
10,4.9,7.2
11,6,6.5
12,5.2,6.4
13,6,6.8
14,4.3,5.2
15,5.8,7.2
16,5.7,6.3
17,5,6
18,5.1,6.7
19,5.3,7.7
20,6,7.2
21,5.4,6.9
22,5.1,6
23,4.8,7.7
24,4.1,6.3
25,4.8,6.7
26,4.3,
27,5,6.2
28,5,6.1
29,5.2,6.4
30,4.7,5.8
31,6,6.5
32,4.4,7.9
33,5.2,6.4
34,5.3,6.3
35,5.5,6.1
36,4,5.3
37,6.1,7.3
38,5,6.5
39,6.3,7.2
40,4.1,6.9
41,5,6.1
42,5,7
43,5.3,5.9
44,4,5.5
45,5.1,6.7
46,3.8,5.4
47,4.9,5.3
48,5.6,6.5
49,5.3,6.2
50,6,6.2
51,7,7.3
52,6.4,5.2
53,5,5.3
54,5.5,5.8
55,4.2,6.5
56,4.7,5.4
57,4.7,5.4
58,3.9,5
59,3.9,5.6
60,4.1,6
61,5,6.3
62,5,5.2
63,6,5.2
64,3.3,5.9
65,5.6,5.8
66,5.6,6.2
67,5.6,6.3
68,5.6,6.3
69,6.2,5.9
70,5,6
71,5.9,7.2
72,3.4,5.1
73,4.3,5.8
74,5,5.7
75,5.4,6.2
76,3,
77,6,7.3
78,5,6.3
79,5,5.2
80,5.2,6.2
81,5.5,6.3
82,4,5.2
83,5.8,5.2
84,4.8,5.3
85,5.4,7
86,6,
87,6.7,7.3
88,5.2,6
89,5.6,6.3
90,5,5.6
91,5.5,7
92,6.1,6
93,5,5.3
94,5,
95,7,8
96,5.7,5.9
97,5.7,6
98,5,5.6
99,5.1,6.2
100,5.7,6
