no,method,survey,score
1,1,1,3.2
2,2,0, 
3,3,1,4.7
4,1,0, 
5,2,1,7.8
6,3,1,5.4
7,1,0, 
8,2,0,8.4
9,3,1,4.4
10,1,0,2.8
11,2,1, 
12,3,1, 
13,1,0, 
14,2,1,7.7
15,3,1,5.8
16,1,0,4.3
17,2,0, 
18,3,0,5.1
19,1,1, 
20,2,1, 
21,3,0, 
22,1,1,2.4
23,2,1, 
24,3,0,4.1
25,1,1,3.3
26,2,1, 
27,3,1,5
28,1,0, 
29,2,0,5.9
30,3,1,4.7
31,1,1, 
32,2,0,6.7
33,3,1,5.2
34,1,1, 
35,2,1, 
36,3,1,4
37,1,0, 
38,2,1, 
39,3,1, 
40,1,0,4.1
41,2,1,7.4
42,3,1, 
43,1,1, 
44,2,0,8.5
45,3,1,5.1
46,1,1,3.8
47,2,0, 
48,3,1, 
49,1,0,3.3
50,2,1, 
51,3,1,7
52,1,0,5.4
53,2,1,70
54,3,1,5.5
55,1,1, 
56,2,0,7.3
57,3,1, 
58,1,1,3.9
59,2,0, 
60,3,1,4.1
61,1,1,4.5
62,2,1, 
63,3,0,6
64,1,1,3.3
65,2,1,7.7
66,3,1, 
67,1,1,5.6
68,2,0, 
69,3,1,6.2
70,1,1, 
71,2,1,7.8
72,3,0,3.4
73,1,1,5.1
74,2,1, 
75,3,0,6.4
76,1,1,3
77,2,1,6.8
78,3,1, 
79,1,1, 
80,2,0,6.3
81,3,1,5.5
82,1,1, 
83,2,0,5.8
84,3,1, 
85,1,0,5.4
86,2,1,6
87,3,1,6.7
88,1,1,5.2
89,2,0,5.6
90,3,1, 
91,1,1,3
92,2,1,6.1
93,3,0, 
94,1,1,2.7
95,2,1, 
96,3,1,5.7
97,1,1,3.7
98,2,1, 
99,3,0,5.1
100,1,1,2
101,2,1,6.3
102,3,1, 
103,1,0,6.5
104,2,1, 
105,3,1,6.5
106,1,1, 
107,2,1,6
108,3,0,6.2
109,1,1, 
110,2,1,7.2
111,3,0,6.5
112,1,1,285
113,2,1,6.8
114,3,1, 
115,1,1,5.8
116,2,1, 
117,3,1, 
118,1,0,4.8
119,2,1,7.7
120,3,1, 
121,1,1,3.7
122,2,1, 
123,3,0,7.7
124,1,1, 
125,2,1,6.7
126,3,1, 
127,1,1,3.4
128,2,1, 
129,3,1,6.4
130,1,0,5.1
131,2,1, 
132,3,1,7.9
133,1,1,478
134,2,1,6.3
135,3,1,6.1
136,1,1, 
137,2,1,6.3
138,3,1, 
139,1,1,6
140,2,1,6.9
141,3,1, 
142,1,0,4.3
143,2,1, 
144,3,1, 
145,1,0,3.7
146,2,1,5.4
147,3,1, 
148,1,1,6.5
149,2,1,6.2
150,3,1,5.9
