no,   gender,method,survey,score
1,1,1,1,5.1
2,1,1,0,5.2
3,1,1,1,4.7
4,2,1,0,4.8
5,1,1,1,5
6,1,1,1,5.4
7,2,1,0,     
8,1,1,1,5
9,1,1,1,4.4
10,1,1,0,4.9
11,2,1,1,     
12,1,1,1,5.2
13,1,1,0,     
14,2,1,1,4.3
15,1,1,1,5.8
16,1,1,1,5.7
17,1,1,1,     
18,1,1,0,5.1
19,2,1,1,5.3
20,1,1,1,     
21,1,1,0,5.4
22,1,1,1,5.1
23,1,1,1,4.8
24,1,1,1,4.1
25,1,1,1,4.8
26,2,1,1,     
27,1,1,1,5
28,1,1,0,     
29,1,1,1,5.2
30,2,1,1,4.7
31,1,1,1,     
32,1,1,1,4.4
33,1,1,1,5.2
34,1,1,1,5.3
35,2,1,1,     
36,1,1,1,4
37,1,1,0,6.1
38,1,1,1,     
39,1,1,1,6.3
40,2,1,1,4.1
41,1,1,1,5
42,1,1,1,     
43,1,1,1,5.3
44,1,1,1,4
45,2,1,1,5.1
46,1,1,1,3.8
47,1,1,0,     
48,1,1,1,5.6
49,1,1,0,5.3
50,1,1,1,     
51,2,1,1,7
52,1,1,0,6.4
53,1,1,1,     
54,1,1,1,5.5
55,2,1,1,     
56,1,1,0,4.7
57,1,1,1,     
58,1,1,1,3.9
59,1,1,0,     
60,2,1,1,4.1
61,1,1,1,5
62,1,1,1,     
63,1,1,0,6
64,2,1,1,3.3
65,2,1,1,5.6
66,2,1,1,     
67,2,1,1,5.6
68,2,1,0,     
69,1,1,1,6.2
70,2,1,1,     
71,2,1,1,5.9
72,2,1,0,3.4
73,1,1,1,6.3
74,2,1,1,     
75,1,1,0,6.4
76,2,1,1,3
77,2,1,1,6.8
78,2,1,1,     
79,2,1,1,     
80,1,1,0,5.2
81,1,1,1,5.5
82,2,1,1,     
83,2,1,0,5.8
84,2,1,1,     
85,1,1,0,5.4
86,1,1,1,6
87,1,1,1,6.7
88,2,1,1,5.2
89,1,1,0,5.6
90,2,1,1,     
91,2,1,1,5.5
92,2,1,1,6.1
93,2,1,0,     
94,1,1,1,5
95,1,1,1,     
96,2,1,0,5.7
97,1,1,1,5.7
98,1,1,1,     
99,2,1,0,5.1
100,2,1,1,5.7
101,2,1,0,6.3
102,1,1,1,     
103,1,1,0,7.1
104,2,1,1,     
105,2,1,1,6.5
106,1,1,1,     
107,2,1,1,4.9
108,1,1,0,6.2
109,2,1,1,     
110,1,1,1,7.2
111,2,1,0,6.5
112,1,1,1,6.4
113,2,1,0,6.8
114,2,1,1,     
115,2,1,1,5.8
116,1,1,1,     
117,2,1,1,     
118,2,1,0,6.7
119,1,1,1,7.7
120,2,1,1,     
121,2,1,1,6.9
122,1,1,1,     
123,2,1,0,7.7
124,2,1,1,     
125,2,1,1,6.7
126,1,1,0,     
127,1,1,1,6.2
128,2,1,1,6.1
129,1,1,1,6.4
130,2,1,0,5.8
131,1,1,1,5.2
132,1,1,0,7.9
133,1,1,1,6.4
134,1,1,1,6.3
135,1,1,0,6.1
136,1,1,1,5.3
137,1,1,1,6.3
138,2,1,1,4.8
139,1,1,0,6
140,1,1,1,6.9
141,1,1,1,6.1
142,2,1,0,4.3
143,1,1,1,4.9
144,1,1,1,5.5
145,1,1,0,6.7
146,1,1,1,5.4
147,2,1,1,5.3
148,1,1,1,6.5
149,1,1,1,6.2
150,1,1,0,5.9
151,1,2,1,4.9
152,2,2,1,5.2
153,1,2,0,5.3
154,1,2,1,4.8
155,1,2,1,5
156,1,2,1,5.4
157,2,2,0,     
158,1,2,1,5
159,1,2,1,5.4
160,1,2,1,4.9
161,1,2,0,6.3
162,1,2,1,5.2
163,1,2,1,     
164,1,2,1,5.9
165,1,2,0,5.8
166,1,2,1,5.7
167,1,2,1,     
168,1,2,1,5.1
169,1,2,0,5.3
170,1,2,1,     
171,1,2,1,5.4
172,1,2,0,5.1
173,1,2,1,4.8
174,1,2,1,4.7
175,1,2,1,4.8
176,2,2,1,     
177,2,2,1,5
178,2,2,1,     
179,1,2,1,5.2
180,1,2,1,4.7
181,1,2,1,4.8
182,1,2,1,4.4
183,1,2,0,5.2
184,2,2,1,5.3
185,1,2,1,7
186,1,2,1,4
187,1,2,1,6.1
188,2,2,1,     
189,1,2,1,6.3
190,2,2,1,4.1
191,2,2,0,7
192,1,2,1,     
193,1,2,1,5.3
194,2,2,1,4
195,1,2,1,8
196,1,2,1,4.8
197,1,2,1,     
198,1,2,0,5.6
199,1,2,1,5
200,1,2,1,     
201,1,2,1,6
202,2,2,1,6.4
203,1,2,1,     
204,1,2,1,5.5
205,2,2,1,     
206,1,2,0,4.7
207,1,2,1,     
208,1,2,1,4.8
209,2,2,1,     
210,1,2,0,5.1
211,2,2,1,8
212,2,2,1,     
213,1,2,1,6
214,1,2,1,5.3
215,1,2,0,5.6
216,1,2,1,     
217,1,2,1,5.6
218,2,2,1,     
219,1,2,1,6.2
220,1,2,1,     
221,2,2,0,5.9
222,1,2,1,5.4
223,2,2,1,6.3
224,1,2,1,     
225,2,2,1,6.4
226,2,2,1,5
227,2,2,0,6.8
228,1,2,1,5.4
229,2,2,1,     
230,2,2,1,5.2
231,2,2,1,5.5
232,1,2,1,5.8
233,2,2,1,5.8
234,2,2,1,     
235,2,2,1,5.4
236,2,2,1,6
237,1,2,0,6.7
238,1,2,1,5.2
239,2,2,1,5.6
240,2,2,1,     
241,1,2,1,5.5
242,2,2,1,6.1
243,2,2,1,     
244,2,2,1,5
245,1,2,1,     
246,2,2,1,5.7
247,1,2,1,5.7
248,1,2,1,7.3
249,2,2,1,5.1
250,2,2,1,5.7
251,2,2,1,6.3
252,2,2,1,     
253,1,2,1,7.1
254,2,2,1,     
255,1,2,1,6.5
256,1,2,1,     
257,2,2,1,5.9
258,2,2,1,6.2
259,2,2,1,     
260,2,2,1,7.2
261,2,2,1,6.5
262,1,2,1,6.4
263,2,2,1,6.8
264,2,2,1,     
265,2,2,1,5.8
266,1,2,1,     
267,2,2,1,5.3
268,2,2,1,6.7
269,1,2,1,7.7
270,2,2,1,     
271,2,2,1,6.9
272,1,2,1,5
273,2,2,1,7.7
274,2,2,1,     
275,2,2,1,6.7
276,1,2,1,7
277,2,2,1,6.2
278,1,2,1,6.1
279,1,2,1,6.4
280,2,2,1,5.8
281,2,2,1,8
282,2,2,1,7.9
283,2,2,1,6.4
284,1,2,1,6.3
285,2,2,1,6.1
286,1,2,1,5.3
287,2,2,1,6.3
288,1,2,1,5.8
289,2,2,1,6
290,2,2,1,6.9
291,2,2,1,6.1
292,2,2,1,5.6
293,1,2,1,4.9
294,2,2,1,5.5
295,1,2,1,6.7
296,2,2,1,5.4
297,1,2,1,5.3
298,1,2,1,6.5
299,2,2,1,6.2
300,1,2,1,5.9
